,prediction,p_0,p_1,filename
0,1,0.1448906566,0.8218396482,orto-puerto-gata-01-19-tif
1,1,0.0325591958,0.9159534223,orto-puerto-gata-01-20-tif
2,1,0.1374610973,0.9536916664,orto-puerto-gata-01-21-tif
3,1,0.0307953898,0.8943452588,orto-puerto-gata-02-19-tif
4,1,0.0793608903,0.7140249753,orto-puerto-gata-02-20-tif
5,1,0.0636710433,0.8601496324,orto-puerto-gata-02-21-tif
6,1,0.0952113566,0.9666085676,orto-puerto-gata-02-22-tif
7,1,0.1151039587,0.8865830967,orto-puerto-gata-02-23-tif
8,1,0.0970351681,0.9582546248,orto-puerto-gata-02-24-tif
9,1,0.2971667761,0.8630593442,orto-puerto-gata-02-25-tif
10,1,0.2298255567,0.8614517696,orto-puerto-gata-03-16-tif
11,1,0.3077583229,0.8572401795,orto-puerto-gata-03-17-tif
12,1,0.2262345652,0.7926038264,orto-puerto-gata-03-19-tif
13,1,0.2689199077,0.7949204964,orto-puerto-gata-03-20-tif
14,1,0.2634896747,0.71649366,orto-puerto-gata-03-21-tif
15,1,0.15783079,0.7426244174,orto-puerto-gata-03-22-tif
16,1,0.07020706,0.8258778759,orto-puerto-gata-03-23-tif
17,1,0.0487556924,0.7527947544,orto-puerto-gata-03-24-tif
18,1,0.0491306543,0.9548460615,orto-puerto-gata-03-25-tif
19,1,0.0813212217,0.9329225726,orto-puerto-gata-03-26-tif
20,1,0.05305212,0.9755475684,orto-puerto-gata-03-27-tif
21,1,0.2558998049,0.9085349975,orto-puerto-gata-03-28-tif
22,1,0.3370772259,0.8472179164,orto-puerto-gata-03-29-tif
23,1,0.3682322044,0.7925133325,orto-puerto-gata-04-15-tif
24,1,0.0867552209,0.8100189709,orto-puerto-gata-04-16-tif
25,1,0.0545866143,0.7975052861,orto-puerto-gata-04-17-tif
26,1,0.1041639514,0.9399564073,orto-puerto-gata-04-18-tif
27,1,0.1063800258,0.740837285,orto-puerto-gata-04-19-tif
28,1,0.063746477,0.8332824842,orto-puerto-gata-04-20-tif
29,1,0.0847006153,0.7625226207,orto-puerto-gata-04-21-tif
30,1,0.0981486307,0.7783466806,orto-puerto-gata-04-22-tif
31,1,0.0568493115,0.8126152768,orto-puerto-gata-04-23-tif
32,1,0.041533605,0.8694443078,orto-puerto-gata-04-24-tif
33,1,0.0644305133,0.8690075068,orto-puerto-gata-04-25-tif
34,1,0.0363274221,0.9122850595,orto-puerto-gata-04-26-tif
35,1,0.0519199019,0.8913184091,orto-puerto-gata-04-27-tif
36,1,0.1623717031,0.9113070321,orto-puerto-gata-04-28-tif
37,1,0.0787995383,0.915847402,orto-puerto-gata-04-29-tif
38,1,0.057817909,0.9635577296,orto-puerto-gata-04-30-tif
39,1,0.201307975,0.9395611561,orto-puerto-gata-04-31-tif
40,1,0.2012441109,0.8028457037,orto-puerto-gata-05-15-tif
41,1,0.0715633469,0.690114773,orto-puerto-gata-05-16-tif
42,1,0.1020322256,0.8095612991,orto-puerto-gata-05-17-tif
43,1,0.1831387142,0.5930431005,orto-puerto-gata-05-18-tif
44,1,0.1146065112,0.7998652685,orto-puerto-gata-05-19-tif
45,1,0.0857707095,0.7793272147,orto-puerto-gata-05-20-tif
46,1,0.0783488239,0.8395826837,orto-puerto-gata-05-21-tif
47,1,0.0960453965,0.7346399147,orto-puerto-gata-05-22-tif
48,1,0.16829117,0.7517097682,orto-puerto-gata-05-23-tif
49,1,0.046443764,0.8298931715,orto-puerto-gata-05-24-tif
50,1,0.2283903849,0.6983156603,orto-puerto-gata-05-25-tif
51,1,0.0856933248,0.7504672411,orto-puerto-gata-05-26-tif
52,1,0.0734631516,0.8095941242,orto-puerto-gata-05-27-tif
53,1,0.0336365936,0.9168392378,orto-puerto-gata-05-28-tif
54,1,0.0676450239,0.9047466752,orto-puerto-gata-05-29-tif
55,1,0.0689580293,0.8920695186,orto-puerto-gata-05-30-tif
56,1,0.0853995305,0.8096069483,orto-puerto-gata-05-31-tif
57,1,0.0915288966,0.9642941315,orto-puerto-gata-05-32-tif
58,1,0.2426078512,0.8962376067,orto-puerto-gata-05-33-tif
59,1,0.345731777,0.7596854688,orto-puerto-gata-06-15-tif
60,1,0.1557679352,0.7496544505,orto-puerto-gata-06-16-tif
61,1,0.0746710245,0.7872691254,orto-puerto-gata-06-17-tif
62,1,0.1223772066,0.825550379,orto-puerto-gata-06-18-tif
63,1,0.1316606961,0.7586238143,orto-puerto-gata-06-19-tif
64,1,0.0966442676,0.7699488743,orto-puerto-gata-06-20-tif
65,1,0.0491991328,0.8742177501,orto-puerto-gata-06-21-tif
66,1,0.1283801648,0.7048109989,orto-puerto-gata-06-22-tif
67,1,0.2091213789,0.7475380896,orto-puerto-gata-06-23-tif
68,1,0.0466372758,0.8020966979,orto-puerto-gata-06-24-tif
69,1,0.0551693426,0.8886066909,orto-puerto-gata-06-25-tif
70,1,0.1540301563,0.7973137568,orto-puerto-gata-06-26-tif
71,1,0.0310944169,0.849307817,orto-puerto-gata-06-27-tif
72,1,0.091475271,0.9023019004,orto-puerto-gata-06-28-tif
73,1,0.0385882998,0.9398507073,orto-puerto-gata-06-29-tif
74,1,0.0383028421,0.9051048833,orto-puerto-gata-06-30-tif
75,1,0.1400870855,0.7200694025,orto-puerto-gata-06-31-tif
76,1,0.0564328884,0.9005717412,orto-puerto-gata-06-32-tif
77,1,0.1521957858,0.931849464,orto-puerto-gata-06-33-tif
78,1,0.1101031104,0.9617251489,orto-puerto-gata-06-34-tif
79,1,0.2994119131,0.8773907226,orto-puerto-gata-06-35-tif
80,1,0.2838100408,0.8271256651,orto-puerto-gata-07-14-tif
81,1,0.1082656288,0.8513014318,orto-puerto-gata-07-15-tif
82,1,0.0745824132,0.8283520259,orto-puerto-gata-07-16-tif
83,1,0.069758221,0.8568973758,orto-puerto-gata-07-17-tif
84,1,0.0743849393,0.821744992,orto-puerto-gata-07-18-tif
85,1,0.1561683634,0.762272465,orto-puerto-gata-07-19-tif
86,1,0.115268951,0.868526731,orto-puerto-gata-07-20-tif
87,1,0.0886643358,0.8271048996,orto-puerto-gata-07-21-tif
88,1,0.1026041763,0.8081188673,orto-puerto-gata-07-22-tif
89,1,0.1122876575,0.8402534886,orto-puerto-gata-07-23-tif
90,1,0.042320792,0.8609142484,orto-puerto-gata-07-24-tif
91,1,0.0411395613,0.8340103522,orto-puerto-gata-07-25-tif
92,1,0.048015613,0.8540925042,orto-puerto-gata-07-26-tif
93,1,0.0550038607,0.816434587,orto-puerto-gata-07-27-tif
94,1,0.0489788979,0.8952645301,orto-puerto-gata-07-28-tif
95,1,0.0584451691,0.8445374429,orto-puerto-gata-07-29-tif
96,1,0.0362014846,0.9254807037,orto-puerto-gata-07-30-tif
97,1,0.0469495315,0.8597097171,orto-puerto-gata-07-31-tif
98,1,0.0256782334,0.8792186045,orto-puerto-gata-07-32-tif
99,1,0.0618433454,0.9119692975,orto-puerto-gata-07-33-tif
